0.09, 1.577, 2.582, 0.704, 0.709, -0.005, 0.042
0.092, 1.604, 2.626, 0.695, 0.715, 0.01, 0.074
0.093, 1.621, 2.656, 0.696, 0.713, -0.005, 0.079
0.093, 1.629, 2.669, 0.7, 0.71, -0.021, 0.075
0.092, 1.61, 2.637, 0.705, 0.707, -0.027, 0.048
0.092, 1.598, 2.618, 0.694, 0.716, 0.014, 0.078
0.091, 1.578, 2.585, 0.692, 0.717, 0.031, 0.077
0.092, 1.618, 2.65, 0.705, 0.707, -0.03, 0.052
0.091, 1.583, 2.592, 0.684, 0.721, 0.047, 0.096
0.093, 1.611, 2.639, 0.694, 0.715, 0.009, 0.086
0.091, 1.576, 2.581, 0.696, 0.715, 0.022, 0.066
0.094, 1.637, 2.681, 0.692, 0.715, -0.005, 0.097
0.092, 1.612, 2.64, 0.705, 0.707, -0.026, 0.053
0.094, 1.637, 2.683, 0.695, 0.714, -0.004, 0.088
0.094, 1.626, 2.664, 0.682, 0.721, 0.03, 0.119
