0.458, 1.49, 2.422, -0.022, 0.996, -0.088, 0.001
0.455, 1.48, 2.406, -0.024, 0.997, -0.071, 0.013
0.456, 1.486, 2.415, -0.02, 0.999, -0.047, 0.006
0.451, 1.469, 2.388, -0.027, 0.998, -0.05, 0.029
0.453, 1.476, 2.4, -0.025, 0.998, -0.061, 0.02
0.455, 1.48, 2.405, -0.025, 0.997, -0.076, 0.016
0.455, 1.483, 2.411, -0.023, 0.998, -0.064, 0.011
0.454, 1.479, 2.405, -0.025, 0.996, -0.078, 0.017
0.453, 1.474, 2.395, -0.026, 0.997, -0.062, 0.025
0.456, 1.485, 2.414, -0.023, 0.997, -0.074, 0.009
0.456, 1.484, 2.412, -0.023, 0.997, -0.08, 0.008
0.455, 1.482, 2.408, -0.025, 0.997, -0.077, 0.015
0.452, 1.473, 2.394, -0.027, 0.997, -0.07, 0.025
0.457, 1.487, 2.417, -0.02, 0.998, -0.06, 0.004
0.458, 1.492, 2.425, -0.019, 0.998, -0.065, -0.002
