-0.073, 1.686, 3.898, -0.676, 0.693, 0.182, 0.17
-0.074, 1.708, 3.951, -0.686, 0.688, 0.141, 0.191
-0.075, 1.732, 4.005, -0.675, 0.697, 0.183, 0.155
-0.075, 1.736, 4.013, 0.688, -0.681, -0.131, -0.215
-0.073, 1.684, 3.893, 0.684, -0.682, -0.152, -0.21
-0.071, 1.647, 3.807, -0.682, 0.686, 0.155, 0.199
-0.07, 1.64, 3.79, 0.689, -0.666, -0.127, -0.257
-0.075, 1.74, 4.022, -0.678, 0.696, 0.168, 0.163
-0.074, 1.716, 3.967, -0.682, 0.691, 0.156, 0.181
-0.075, 1.745, 4.033, -0.683, 0.692, 0.15, 0.178
-0.071, 1.672, 3.866, 0.693, -0.662, -0.11, -0.265
-0.073, 1.689, 3.904, -0.674, 0.695, 0.189, 0.163
-0.072, 1.676, 3.874, -0.682, 0.688, 0.158, 0.19
-0.075, 1.721, 3.98, -0.68, 0.694, 0.169, 0.166
-0.075, 1.729, 3.998, 0.685, -0.685, -0.143, -0.201
